Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T3-L4-Z16_MC-C11,T3,L4,Z16_MC,4,C11,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C12,T3,L4,Z16_MC,4,C12,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C13,T3,L4,Z16_MC,4,C13,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C14,T3,L4,Z16_MC,4,C14,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C15,T3,L4,Z16_MC,4,C15,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C16,T3,L4,Z16_MC,4,C16,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C17,T3,L4,Z16_MC,4,C17,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C18,T3,L4,Z16_MC,4,C18,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C19,T3,L4,Z16_MC,4,C19,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C20,T3,L4,Z16_MC,4,C20,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C21,T3,L4,Z16_MC,4,C21,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C22,T3,L4,Z16_MC,4,C22,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C23,T3,L4,Z16_MC,4,C23,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C1,T3,L4,Z17_MC,4,C1,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C2,T3,L4,Z17_MC,4,C2,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C3,T3,L4,Z17_MC,4,C3,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C4,T3,L4,Z17_MC,4,C4,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C5,T3,L4,Z17_MC,4,C5,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C6,T3,L4,Z17_MC,4,C6,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C7,T3,L4,Z17_MC,4,C7,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C8,T3,L4,Z17_MC,4,C8,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C9,T3,L4,Z17_MC,4,C9,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C10,T3,L4,Z17_MC,4,C10,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C11,T3,L4,Z17_MC,4,C11,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C12,T3,L4,Z17_MC,4,C12,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C1,T3,L4,Z19_MC,4,C1,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C2,T3,L4,Z19_MC,4,C2,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C3,T3,L4,Z19_MC,4,C3,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C4,T3,L4,Z19_MC,4,C4,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C5,T3,L4,Z19_MC,4,C5,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C6,T3,L4,Z19_MC,4,C6,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C7,T3,L4,Z19_MC,4,C7,,,,MC,100%,100%,100%
