Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T4-L2-Z23-C7,T4,L2,Z23,6,C7,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C8,T4,L2,Z23,6,C8,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C9,T4,L2,Z23,6,C9,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C10,T4,L2,Z23,6,C10,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C11,T4,L2,Z23,6,C11,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C12,T4,L2,Z23,6,C12,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C13,T4,L2,Z23,6,C13,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C14,T4,L2,Z23,6,C14,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C15,T4,L2,Z23,6,C15,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C16,T4,L2,Z23,6,C16,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C17,T4,L2,Z23,6,C17,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z24-C1,T4,L2,Z24,6,C1,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z24-C2,T4,L2,Z24,6,C2,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z24-C3,T4,L2,Z24,6,C3,100%,100%,100%,Column,100%,100%,100%
