Tower,Level,SOW,Zone,Total_area_m2,%_progress_PC13,%_progress_PC14
T3,L3,4,Zone10,2701,0.89,0.89
T3,L4,4,Zone15,3806,0.45,0.53
T4,L1M,5,Zone 16,1637,1.00,1.00
T4,L2,6,Zone 22,7702,0.56,0.56
T4,L3,6,Zone 30,7999,0.46,0.51
