tower,level,Zone,length_m,%_progress_PC13,%_progress_PC14
T3,L3,Z10,49.14,100.00,100.00
T3,L3,Z12,17.65,100.00,100.00
T3,L3,Z11,33.46,100.00,100.00
T3,L3,Z14,39.08,33.33,66.00
T3,L4,Z16,75.63,100.00,100.00
T3,L4,Z17,17.75,0.00,0.00
T3,L4,Z15,48.91,33.33,66.00
T3,L4,Z19,65.70,0.00,33.33
