tower,staircase_id,level_start,level_finish,bill_ref,shear_pc13,shear_pc14
T4,ST14,L1,L1M,SOW2,66%,100%
T4,ST15,L1,L1M,SOW2,100%,100%
T4,ST15,L1M,L2,SOW2,100%,100%
T4,ST15,L2,L3,SOW6,66%,100%
T4,ST16,L1,L1M,SOW2,100%,100%
T4,ST16,L1M,L2,SOW2,100%,100%
T4,ST16,L2,L3,SOW6,0%,66%
T4,ST34,L2,L3,SOW6,0%,0%
T4,ST35,GF,L1,SOW2,0%,0%
T4,ST35,L1,L1M,SOW2,0%,0%
T4,ST35,L1M,L2,SOW2,0%,0%
T4,ST35,L2,L3,SOW6,0%,0%
